Season,logo,UNC,State,Diff,Location,Type
2013,North Carolina,7,1,6,Raleigh,Regular
2013,NC State,3,7,-4,Raleigh,Regular
2013,North Carolina,2,1,1,Durham,ACC Tournament (18 innings)
2013,NC State,1,8,-7,Omaha,College World Series
2013,North Carolina,7,0,7,Omaha,College World Series
2014,North Carolina,4,3,1,Durham,ACC Tournament
2015,North Carolina,2,1,1,Chapel Hill,Regular
2015,North Carolina,3,2,1,Chapel Hill,Regular (10 innings)
2015,NC State,3,6,-3,Chapel Hill,Regular
2016,NC State,4,6,-2,Raleigh,Regular
2016,North Carolina,16,4,12,Raleigh,Regular
2016,NC State,1,10,-9,Raleigh,Regular
2017,North Carolina,7,2,5,Chapel Hill,Regular
2017,North Carolina,7,1,6,Chapel Hill,Regular
2017,NC State,2,4,-2,Chapel Hill,Regular
2017,North Carolina,12,4,8,Louisville,ACC Tournament
2018,NC State,3,8,-5,Durham,Non-conference
2018,North Carolina,6,5,1,Raleigh,Regular
2018,North Carolina,8,6,2,Raleigh,Regular
2018,North Carolina,5,4,1,Raleigh,Regular
2019,North Carolina,5,3,2,Chapel Hill,Regular
2019,NC State,2,11,-9,Chapel Hill,Regular
2019,NC State,0,11,-11,Chapel Hill,Regular
2021,NC State,2,9,-7,Chapel Hill,Regular
2021,NC State,1,6,-5,Chapel Hill,Regular
2021,NC State,3,8,-5,Chapel Hill,Regular
2021,North Carolina,9,6,3,Charlotte,ACC Tournament
2022,North Carolina,8,7,1,Raleigh,Regular
2022,NC State,2,9,-7,Raleigh,Regular
2022,North Carolina,7,5,2,Raleigh,Regular
2022,North Carolina,9,5,4,Charlotte,ACC Tournament
-,North Carolina,151,163,-12,-,-
