school, type
Baylor, private
Boston College, private
BYU, private
Duke, private
Liberty, private
Northwestern, private
Notre Dame, private
Rice, private
SMU, private
Stanford, private
Syracuse, private
TCU, private
Tulane, private
Tulsa, private
USC, private
Vanderbilt, private
Wake Forest, private
Miami, private
Air Force, public
Akron, public
Alabama, public
Appalachian State, public
Arizona, public
Arizona State, public
Arkansas, public
Arkansas State, public
Army, public
Auburn, public
Ball State, public
Boise State, public
Bowling Green, public
Buffalo, public
California, public
Central Michigan, public
Charlotte, public
Cincinnati, public
Clemson, public
Coastal Carolina, public
Colorado, public
Colorado State, public
Connecticut, public
East Carolina, public
Eastern Michigan, public
Florida, public
Florida Atlantic, public
Florida International, public
Florida State, public
Fresno State, public
Georgia, public
Georgia Southern, public
Georgia State, public
Georgia Tech, public
Hawai'i, public
Houston, public
Illinois, public
Indiana, public
Iowa, public
Iowa State, public
Jacksonville State, public
James Madison, public
Kansas, public
Kansas State, public
Kent State, public
Kentucky, public
Louisiana, public
Louisiana Monroe, public
Louisiana Tech, public
Louisville, public
LSU, public
Marshall, public
Maryland, public
Memphis, public
Miami (OH), public
Michigan, public
Michigan State, public
Middle Tennessee, public
Minnesota, public
Mississippi State, public
Missouri, public
Navy, public
NC State, public
Nebraska, public
Nevada, public
New Mexico, public
New Mexico State, public
North Carolina, public
Northern Illinois, public
North Texas, public
Ohio, public
Ohio State, public
Oklahoma, public
Oklahoma State, public
Old Dominion, public
Ole Miss, public
Oregon, public
Oregon State, public
Penn State, public
Pittsburgh, public
Purdue, public
Rutgers, public
Sam Houston State, public
San Diego State, public
San José State, public
South Alabama, public
South Carolina, public
Southern Mississippi, public
South Florida, public
Temple, public
Tennessee, public
Texas, public
Texas A&M, public
Texas State, public
Texas Tech, public
Toledo, public
Troy, public
UAB, public
UCF, public
UCLA, public
UMass, public
UNLV, public
Utah, public
Utah State, public
UTEP, public
UT San Antonio, public
Virginia, public
Virginia Tech, public
Washington, public
Washington State, public
Western Kentucky, public
Western Michigan, public
West Virginia, public
Wisconsin, public
Wyoming, public
